customer_id,first_name,last_name,date_of_birth,age,region,employment_status,employment_length_yrs,annual_income,risk_band,credit_score,num_prev_defaults,created_date
CUST000077,Adam,Jackson,1957-01-24,69,Birmingham,Self-Employed,15.0,52600.0,Prime,833,0,2024-02-21
CUST000078,Charles,George,1989-04-27,36,Bristol,Employed,2.4,76000.0,Deep Sub-Prime,508,1,2024-02-28
CUST000079,Christian,Rees,1958-08-18,67,Bristol,Self-Employed,2.5,41300.0,Deep Sub-Prime,576,0,2022-04-16
CUST000080,Damian,Ahmed,1999-02-15,27,Bristol,Employed,10.0,67300.0,Prime,750,1,2025-10-15
CUST000081,Louis,Jackson,1991-12-11,34,Birmingham,Employed,7.3,31100.0,Deep Sub-Prime,501,0,2022-03-03
CUST000082,Jonathan,Burton,1995-04-29,30,London,Self-Employed,4.8,16300.0,Deep Sub-Prime,403,0,2024-06-25
CUST000083,Zoe,Saunders,1991-08-22,34,Sheffield,Employed,7.4,65500.0,Prime,775,0,2023-02-10
CUST000084,Aimee,Edwards,1967-01-28,59,London,Employed,0.1,37600.0,Near-Prime,736,1,2023-01-06
CUST000085,Hannah,Clarke,1971-04-02,54,Birmingham,Contractor,4.8,37300.0,Near-Prime,745,0,2024-09-29
CUST000086,Clare,Saunders,1973-08-04,52,Manchester,Employed,3.6,41000.0,Near-Prime,730,1,2025-03-13
CUST000087,John,Hale,1958-02-11,68,London,Retired,0.8,36000.0,Near-Prime,730,0,2024-05-24
CUST000088,Liam,Powell,1959-12-25,66,Edinburgh,Employed,2.0,54100.0,Near-Prime,713,0,2024-02-25
CUST000089,Wayne,McDonald,1971-03-23,54,Cardiff,Employed,2.6,23100.0,Prime,772,0,2025-09-30
CUST000090,Duncan,Charlton,1957-11-09,68,Manchester,Employed,1.3,48100.0,Near-Prime,746,1,2022-09-03
CUST000091,Paige,Campbell,1982-12-30,43,Edinburgh,Employed,0.6,17700.0,Prime,791,0,2024-08-08
CUST000092,Debra,Bailey,1997-09-05,28,Liverpool,Employed,3.3,33000.0,Near-Prime,724,0,2025-06-23
CUST000093,Clifford,Begum,1990-12-01,35,London,Employed,8.2,25100.0,Near-Prime,742,0,2022-06-10
CUST000094,Arthur,Clark,1962-04-25,63,Sheffield,Self-Employed,3.8,48500.0,Near-Prime,693,0,2022-06-16
CUST000095,Andrea,Bryan,2003-09-12,22,Glasgow,Employed,5.8,46000.0,Prime,808,0,2023-03-14
CUST000096,Rhys,Edwards,1994-05-03,31,Birmingham,Employed,0.6,50300.0,Sub-Prime,617,0,2022-11-13
CUST000097,Ashleigh,Davis,1999-12-17,26,Liverpool,Contractor,0.5,16600.0,Prime,788,0,2024-02-25
CUST000098,Tony,Howe,1986-06-03,39,Birmingham,Employed,3.3,40300.0,Near-Prime,689,0,2025-08-07
CUST000099,Colin,Thomson,1956-08-19,69,Glasgow,Employed,0.7,23400.0,Sub-Prime,587,0,2025-07-12
CUST000100,Samuel,Harper,1972-01-02,54,Edinburgh,Employed,1.4,18200.0,Near-Prime,735,0,2025-04-12
CUST000101,Kim,Robinson,1962-01-29,64,Glasgow,Contractor,0.4,10400.0,Prime,753,3,2022-09-09
CUST000102,Angela,Fisher,2003-08-14,22,Leeds,Retired,10.0,51100.0,Prime,815,1,2023-10-27
CUST000103,John,Clark,1991-05-07,34,Liverpool,Self-Employed,3.8,67600.0,Prime,800,0,2025-10-03
CUST000104,Kieran,Kaur,2000-03-14,25,Birmingham,Employed,6.7,34800.0,Deep Sub-Prime,467,0,2025-07-20
CUST000105,Carole,Fisher,1978-04-20,47,Edinburgh,Employed,0.8,146100.0,Sub-Prime,593,0,2023-10-30
CUST000106,Luke,Brookes,1961-11-06,64,Bristol,Employed,23.0,16200.0,Prime,759,0,2025-10-28
CUST000107,Sarah,Kelly,1955-11-22,70,Bristol,Employed,0.6,120000.0,Sub-Prime,644,1,2023-01-23
CUST000108,Timothy,Nixon,1998-07-24,27,Manchester,Employed,6.6,26800.0,Prime,818,2,2024-05-19
CUST000109,Jasmine,Morris,1980-10-30,45,London,Self-Employed,4.3,34200.0,Prime,784,1,2025-12-09
CUST000110,Ben,Simpson,1969-04-15,56,Birmingham,Employed,8.4,38400.0,Prime,779,0,2025-06-13
CUST000111,Amy,Jennings,1965-03-23,60,Liverpool,Contractor,2.5,32000.0,Near-Prime,683,0,2025-02-18
CUST000112,Victoria,Roberts,1975-10-13,50,London,Self-Employed,3.5,69600.0,Near-Prime,717,0,2025-09-04
CUST000113,Frederick,Phillips,2003-03-13,22,Bristol,Contractor,4.9,17300.0,Sub-Prime,645,0,2025-05-08
CUST000114,Raymond,Cooper,2000-11-24,25,London,Employed,11.2,64300.0,Sub-Prime,608,1,2022-03-02
CUST000115,Ross,Ryan,1985-03-17,40,Bristol,Self-Employed,0.8,50500.0,Prime,846,0,2025-11-27
CUST000116,Bruce,Rogers,1984-07-01,41,Leeds,Employed,4.6,23100.0,Sub-Prime,617,0,2025-05-20
CUST000117,Francis,Brown,1968-08-30,57,Leeds,Self-Employed,6.4,72600.0,Near-Prime,708,0,2022-10-28
CUST000118,Hugh,White,1980-04-16,45,Leeds,Employed,12.0,60100.0,Prime,818,0,2022-04-18
CUST000119,Bruce,Hart,1972-03-03,54,Sheffield,Retired,0.8,39700.0,Near-Prime,726,0,2023-09-13
CUST000120,Paula,Fry,1999-06-02,26,Leeds,Contractor,7.8,136200.0,Prime,809,0,2022-02-12
CUST000121,Elliot,Carpenter,1961-01-09,65,Sheffield,Employed,0.4,26500.0,Near-Prime,710,0,2023-02-17
CUST000122,Raymond,Anderson,1955-10-12,70,Edinburgh,Employed,4.5,28300.0,Sub-Prime,580,0,2023-06-22
CUST000123,Terry,Williams,2002-10-03,23,Sheffield,Self-Employed,0.0,21900.0,Prime,758,0,2024-03-05
CUST000124,Emma,Sutton,1961-01-17,65,Cardiff,Employed,6.7,15900.0,Deep Sub-Prime,529,0,2022-10-23
CUST000125,Samuel,Walters,1970-07-06,55,Edinburgh,Employed,3.4,54300.0,Prime,800,0,2022-01-03
CUST000126,Shannon,Holmes,1988-07-22,37,Sheffield,Employed,5.4,33600.0,Near-Prime,701,0,2025-02-26
CUST000127,Vanessa,Chapman,2003-05-02,22,Leeds,Employed,0.4,36300.0,Deep Sub-Prime,576,0,2023-11-01
CUST000128,Rosie,Wall,1957-12-09,68,Birmingham,Employed,11.4,39300.0,Prime,836,0,2024-08-26
CUST000129,Cheryl,Baker,1974-07-16,51,Glasgow,Employed,1.7,40800.0,Prime,794,0,2025-01-23
CUST000130,Kathleen,Gordon,1973-08-12,52,Birmingham,Employed,1.0,90100.0,Near-Prime,717,1,2023-09-27
CUST000131,Sophie,Harrison,1975-05-17,50,Sheffield,Employed,5.2,30300.0,Deep Sub-Prime,431,0,2024-05-11
CUST000132,Alex,Burton,1961-11-02,64,Glasgow,Employed,1.3,35100.0,Sub-Prime,672,0,2023-08-12
CUST000133,Clive,Richards,1999-04-08,26,Liverpool,Self-Employed,1.0,19700.0,Near-Prime,733,0,2023-04-13
CUST000134,Lorraine,Lee,1980-10-23,45,Glasgow,Self-Employed,16.4,51900.0,Prime,827,2,2023-04-18
CUST000135,Rhys,Sykes,1972-09-13,53,Cardiff,Contractor,0.1,15800.0,Prime,763,1,2024-06-19
CUST000136,Abbie,Stanley,1994-06-17,31,Sheffield,Self-Employed,2.3,87800.0,Sub-Prime,599,0,2023-11-18
CUST000137,Frances,Dobson,1983-04-07,42,Edinburgh,Self-Employed,2.3,30200.0,Sub-Prime,616,3,2024-01-06
CUST000138,Leslie,Slater,2003-04-05,22,Sheffield,Employed,21.1,46000.0,Sub-Prime,660,0,2023-03-17
CUST000139,Cheryl,Parkinson,1988-04-02,37,Liverpool,Employed,5.0,26600.0,Prime,830,1,2023-06-05
CUST000140,Damian,Davies,1959-07-14,66,Manchester,Employed,0.1,29500.0,Deep Sub-Prime,428,2,2022-12-15
CUST000141,Sean,Jennings,1966-09-23,59,Liverpool,Employed,4.0,60800.0,Prime,849,0,2023-01-16
CUST000142,Kathryn,Baker,1985-07-05,40,Liverpool,Employed,6.6,46000.0,Prime,834,0,2022-04-24
CUST000143,Elizabeth,Shah,1984-03-02,42,Cardiff,Employed,9.1,73300.0,Near-Prime,732,0,2024-06-13
CUST000144,Bethan,Cooper,1966-05-29,59,London,Employed,4.6,28300.0,Near-Prime,733,0,2023-09-13
CUST000145,Sean,Lynch,1969-10-12,56,Leeds,Self-Employed,1.8,22600.0,Near-Prime,719,0,2022-01-09
CUST000146,Kenneth,Marsh,2004-04-12,21,Glasgow,Employed,0.2,135400.0,Deep Sub-Prime,468,0,2022-12-06
CUST000147,Bethan,Weston,1965-02-22,61,Manchester,Employed,3.2,19300.0,Near-Prime,741,0,2022-03-20
CUST000148,Frederick,Bell,1991-02-09,35,Liverpool,Employed,8.5,18700.0,Sub-Prime,621,1,2022-07-08
CUST000149,Aaron,Roberts,1984-03-28,41,Birmingham,Employed,8.2,40500.0,Near-Prime,691,0,2024-11-03
CUST000150,Yvonne,Wright,1989-04-27,36,Glasgow,Employed,7.1,96100.0,Deep Sub-Prime,482,0,2025-03-19
CUST000151,Molly,Sharp,1983-04-18,42,Manchester,Employed,1.3,54700.0,Near-Prime,704,0,2025-10-17
CUST000152,Rachel,Burke,1987-07-12,38,Birmingham,Contractor,17.7,38800.0,Near-Prime,688,2,2024-05-01
CUST000153,Sam,Reid,1983-07-10,42,Birmingham,Employed,8.8,38100.0,Near-Prime,718,0,2024-01-08
CUST000154,Garry,Mitchell,1983-10-21,42,Birmingham,Self-Employed,2.1,28800.0,Prime,847,0,2025-07-28
CUST000155,Martyn,Miller,1996-07-27,29,Glasgow,Employed,7.8,60800.0,Prime,764,1,2024-03-20
CUST000156,Kayleigh,Smith,1986-02-25,40,Cardiff,Employed,23.2,17300.0,Near-Prime,745,0,2023-11-15
CUST000157,Mitchell,Henry,1958-06-13,67,Birmingham,Employed,0.0,35900.0,Prime,767,0,2023-06-06
CUST000158,Sheila,Francis,1974-12-07,51,Liverpool,Employed,3.7,27500.0,Prime,759,0,2022-08-23
CUST000159,Jacqueline,Faulkner,1968-11-30,57,Glasgow,Employed,1.8,13800.0,Prime,794,0,2025-01-02
CUST000160,Philip,Allan,1967-09-26,58,Bristol,Employed,2.7,19900.0,Prime,786,1,2023-05-30
CUST000161,Natalie,Sanderson,1990-02-06,36,Manchester,Employed,23.6,65100.0,Deep Sub-Prime,410,0,2022-11-18
CUST000162,Janet,Franklin,1981-10-07,44,Liverpool,Employed,1.0,81700.0,Prime,847,1,2024-06-26
CUST000163,Michael,Baxter,2000-07-04,25,Edinburgh,Retired,10.8,30100.0,Near-Prime,684,1,2025-04-04
CUST000164,Jessica,Jones,1992-05-08,33,Birmingham,Employed,1.3,20200.0,Near-Prime,682,0,2023-07-01
CUST000165,Janet,Davis,1973-07-01,52,Bristol,Employed,10.5,26700.0,Near-Prime,693,1,2025-07-22
CUST000166,Shannon,Morris,1981-09-09,44,Sheffield,Self-Employed,5.3,29900.0,Deep Sub-Prime,475,0,2024-04-28
CUST000167,Gerald,Jones,1994-03-24,31,Edinburgh,Employed,6.4,23900.0,Prime,837,0,2023-02-28
CUST000168,Danielle,Day,1982-11-01,43,London,Employed,10.7,36200.0,Near-Prime,748,0,2023-06-07
CUST000169,Josephine,Roberts,1998-09-10,27,Glasgow,Self-Employed,3.9,44600.0,Deep Sub-Prime,466,0,2025-01-29
CUST000170,Jade,Bell,1964-05-29,61,London,Employed,0.9,50000.0,Sub-Prime,671,0,2024-08-24
CUST000171,Richard,Walker,1989-07-10,36,Sheffield,Employed,6.0,40000.0,Prime,802,2,2024-07-08
CUST000172,Cheryl,Payne,1991-08-02,34,Cardiff,Employed,8.6,33500.0,Near-Prime,710,0,2024-09-25
CUST000173,Barry,Taylor,1982-05-06,43,Leeds,Employed,7.1,24600.0,Deep Sub-Prime,481,0,2022-10-10
CUST000174,Elliot,Lamb,1956-08-06,69,Glasgow,Employed,5.0,26700.0,Prime,766,0,2022-11-25
CUST000175,Toby,Haynes,1984-02-13,42,Birmingham,Self-Employed,3.9,34600.0,Sub-Prime,649,0,2025-09-28
CUST000176,Ricky,Mitchell,1978-12-23,47,Leeds,Employed,7.4,41800.0,Deep Sub-Prime,421,2,2025-07-16
CUST000177,Howard,Lee,1981-11-12,44,Edinburgh,Self-Employed,3.2,27100.0,Prime,761,0,2024-01-01
CUST000178,Sheila,Barnett,1954-06-30,71,London,Employed,3.4,94400.0,Near-Prime,686,1,2023-06-28
CUST000179,Francesca,Rees,1968-06-08,57,Manchester,Employed,29.3,17600.0,Near-Prime,705,0,2024-10-09
CUST000180,Robert,Wells,1955-12-01,70,Leeds,Contractor,7.4,12100.0,Sub-Prime,608,0,2022-11-06
CUST000181,Brenda,Wyatt,1954-07-25,71,London,Retired,0.2,45000.0,Prime,816,1,2022-07-16
CUST000182,Aimee,Clark,1985-05-27,40,Liverpool,Employed,1.9,41000.0,Deep Sub-Prime,546,0,2022-12-05
CUST000183,Beth,Smith,1984-10-27,41,Birmingham,Employed,5.3,58400.0,Sub-Prime,613,0,2023-07-28
CUST000184,Lynda,Jenkins,1964-08-05,61,Liverpool,Contractor,7.5,30600.0,Deep Sub-Prime,573,1,2025-03-07
CUST000185,Geoffrey,Hobbs,2002-01-22,24,Birmingham,Self-Employed,1.7,33500.0,Sub-Prime,650,0,2022-09-12
CUST000186,Raymond,Whitehead,1974-05-05,51,Edinburgh,Employed,0.9,18600.0,Near-Prime,688,0,2025-12-13
CUST000187,Beverley,Davies,1974-05-28,51,Glasgow,Employed,20.8,34200.0,Prime,751,0,2023-08-07
CUST000188,Joe,Wallis,1980-03-02,46,Liverpool,Contractor,7.6,20200.0,Near-Prime,717,0,2024-12-08
CUST000189,Norman,Warner,1995-11-11,30,London,Employed,4.2,36100.0,Near-Prime,720,0,2025-04-15
CUST000190,Lydia,Foster,1973-09-12,52,Manchester,Employed,3.6,30000.0,Prime,789,0,2022-07-08
CUST000191,Luke,Ward,1991-09-09,34,Leeds,Employed,1.9,57500.0,Near-Prime,712,0,2023-10-28
CUST000192,Lauren,Rees,1998-03-12,28,Birmingham,Contractor,4.5,47900.0,Near-Prime,740,0,2024-10-02
CUST000193,James,Baker,1976-05-25,49,Manchester,Retired,14.7,68400.0,Near-Prime,720,0,2025-07-01
CUST000194,Kenneth,Williams,1986-07-15,39,Edinburgh,Self-Employed,3.0,48000.0,Near-Prime,683,0,2023-07-17
CUST000195,Kelly,Goddard,1996-06-05,29,Manchester,Employed,1.4,21700.0,Near-Prime,693,1,2023-11-08
CUST000196,Zoe,Arnold,1965-02-28,61,Manchester,Employed,5.3,27900.0,Near-Prime,730,0,2023-02-24
CUST000197,Shannon,Russell,1995-02-02,31,Birmingham,Employed,2.6,29600.0,Near-Prime,738,0,2023-12-24
CUST000198,Jenna,Phillips,1982-10-26,43,Bristol,Self-Employed,6.8,17900.0,Sub-Prime,628,0,2025-08-16
CUST000199,Nicholas,White,1969-11-18,56,Glasgow,Employed,3.6,29600.0,Prime,769,0,2023-12-02
CUST000200,Gillian,Pearce,1969-10-09,56,Leeds,Employed,1.6,37700.0,Near-Prime,713,0,2024-11-03
CUST000201,Tom,Day,1978-12-19,47,Birmingham,Employed,5.0,26600.0,Deep Sub-Prime,411,0,2025-08-14
CUST000202,Justin,Jones,1975-04-18,50,Sheffield,Employed,17.8,44300.0,Deep Sub-Prime,486,0,2023-07-06
CUST000203,Maurice,White,1970-10-04,55,Edinburgh,Contractor,2.9,11900.0,Sub-Prime,620,0,2024-07-15
CUST000204,Martyn,Humphreys,2000-11-22,25,Liverpool,Employed,9.8,40800.0,Prime,838,0,2024-03-13
CUST000205,Graham,Smith,1966-03-06,60,Leeds,Retired,3.0,37700.0,Near-Prime,735,0,2023-09-24
CUST000206,Suzanne,Reed,1986-06-04,39,Bristol,Employed,4.8,19100.0,Sub-Prime,580,0,2024-12-08
CUST000207,Leah,Ellis,1985-07-29,40,Liverpool,Employed,2.2,76700.0,Prime,833,0,2023-11-28
CUST000208,Colin,Harris,1954-05-08,71,Leeds,Employed,0.3,39700.0,Near-Prime,685,0,2023-09-21
CUST000209,Norman,Rogers,2000-04-02,25,London,Employed,3.0,33000.0,Deep Sub-Prime,428,0,2024-06-22
CUST000210,Elaine,Fisher,1978-04-16,47,Bristol,Employed,5.8,45400.0,Prime,769,0,2023-06-19
CUST000211,Georgina,Butcher,1982-02-17,44,Liverpool,Employed,1.5,12600.0,Prime,778,0,2024-12-27
CUST000212,Mathew,Parkes,1984-01-20,42,Leeds,Self-Employed,1.1,42000.0,Prime,794,0,2022-12-25
CUST000213,Alex,Saunders,1961-05-21,64,Cardiff,Self-Employed,2.9,33000.0,Deep Sub-Prime,528,0,2025-02-28
CUST000214,Hollie,Gallagher,1989-08-22,36,Sheffield,Employed,1.4,40500.0,Sub-Prime,669,1,2022-12-03
CUST000215,Pamela,White,2003-06-10,22,Glasgow,Self-Employed,12.5,49500.0,Sub-Prime,655,1,2024-07-04
CUST000216,Judith,Anderson,2004-11-28,21,Manchester,Retired,0.2,39000.0,Near-Prime,741,3,2022-06-06
CUST000217,Bryan,Wilson,1966-05-21,59,Liverpool,Employed,1.7,42200.0,Near-Prime,727,1,2022-10-06
CUST000218,Stephen,Walters,1973-09-29,52,Edinburgh,Contractor,10.5,24500.0,Deep Sub-Prime,418,0,2022-07-16
CUST000219,Jordan,Simpson,1971-11-05,54,Glasgow,Employed,5.2,63200.0,Sub-Prime,580,0,2024-05-09
CUST000220,Amelia,Curtis,1973-01-21,53,Liverpool,Employed,3.9,17500.0,Near-Prime,698,0,2024-09-17
CUST000221,Abigail,Webb,2004-05-27,21,Birmingham,Employed,5.1,36400.0,Prime,760,0,2022-01-20
CUST000222,Glen,Jones,1992-03-29,33,Bristol,Self-Employed,0.6,81700.0,Deep Sub-Prime,555,0,2023-11-16
CUST000223,Jeffrey,Arnold,1976-05-12,49,Leeds,Employed,7.2,48900.0,Near-Prime,723,2,2023-01-28
CUST000224,Geoffrey,Fuller,1985-09-08,40,Cardiff,Contractor,0.4,55600.0,Prime,772,2,2023-09-15
CUST000225,Liam,Mellor,1986-08-22,39,Leeds,Retired,2.2,35700.0,Near-Prime,730,0,2024-12-02
CUST000226,Derek,Burrows,1956-10-28,69,Birmingham,Employed,0.5,22600.0,Prime,776,0,2024-05-24
CUST000227,Graham,Turner,1973-11-07,52,Sheffield,Employed,1.0,22400.0,Near-Prime,683,0,2022-07-04
